Date,bottles,feedings,longestBF,solids,newSolid,P,nightSleep,daySleep,nightWakings,LSP,naps,longestNap,painkiller
19-Jan,0,9,45,NA,NA,4,NA,NA,NA,NA,NA,NA,0
20-Jan,0,9,80,NA,NA,1,NA,NA,NA,NA,NA,NA,0
21-Jan,0,9,40,NA,NA,2,NA,NA,NA,NA,NA,NA,0
22-Jan,1,8,40,NA,NA,3,NA,NA,NA,NA,NA,NA,0
23-Jan,5,8,60,NA,NA,3,NA,NA,NA,NA,NA,NA,0
24-Jan,10,12,22,NA,NA,6,NA,NA,NA,NA,NA,NA,0
25-Jan,6,11,59,NA,NA,6,NA,NA,NA,NA,NA,NA,0
26-Jan,6,11,30,NA,NA,5,NA,NA,NA,NA,NA,NA,0
27-Jan,4,11,26,NA,NA,6,NA,NA,NA,NA,NA,NA,0
28-Jan,7,10,42,NA,NA,3,NA,NA,NA,NA,NA,NA,0
29-Jan,9,12,30,NA,NA,7,NA,NA,NA,NA,NA,NA,0
30-Jan,5,10,32,NA,NA,4,NA,NA,NA,NA,NA,NA,0
31-Jan,6,9,30,NA,NA,6,NA,NA,NA,NA,NA,NA,0
1-Feb,2,10,28,NA,NA,4,NA,NA,NA,NA,NA,NA,0
2-Feb,1,10,40,NA,NA,4,NA,NA,NA,NA,NA,NA,0
3-Feb,1,9,40,NA,NA,6,NA,NA,NA,NA,NA,NA,0
4-Feb,1,8,35,NA,NA,8,NA,NA,NA,NA,NA,NA,0
5-Feb,5,8,40,NA,NA,3,NA,NA,NA,NA,NA,NA,0
6-Feb,2,9,27,NA,NA,3,NA,NA,NA,NA,NA,NA,0
7-Feb,0,8,40,NA,NA,1,NA,NA,NA,NA,NA,NA,0
8-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
13-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
14-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
17-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
18-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
19-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
20-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
21-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
22-Feb,3,7,30,NA,NA,1,9.25,9.75,4,4,4,2.75,0
23-Feb,3,8,50,NA,NA,3,8.5,6,6,3,5,2,0
24-Feb,3,8,40,NA,NA,4,7.25,4.25,1,4,3,1.5,0
25-Feb,6,10,30,NA,NA,3,7.75,4.25,4,3,6,1,0
26-Feb,4,8,40,NA,NA,1,8.5,8.25,5,2,4,2,0
27-Feb,4,9,60,NA,NA,3,8.25,5,4,3,5,1.5,0
28-Feb,2,8,40,NA,NA,1,8,7.75,3,3.75,4,2.25,0
29-Feb,2,7,50,NA,NA,1,8.5,7,3,5,3,2,0
1-Mar,2,8,25,NA,NA,NA,8.25,5.5,2,3.5,5,2,0
2-Mar,3,8,40,NA,NA,2,9.25,4.25,2,3.5,3,2.25,0
3-Mar,2,8,40,NA,NA,1,9.25,4.75,2,4,4,2,0
4-Mar,3,9,40,NA,NA,NA,8.5,6,4,3.25,5,2,0
5-Mar,4,8,45,NA,NA,NA,9.5,3,3,4,5,0.75,0
6-Mar,2,8,30,NA,NA,NA,8.25,5.25,2,4.5,7,1.25,0
7-Mar,3,10,35,NA,NA,1,10.25,4.5,3,4.5,5,1.25,0
8-Mar,2,8,29,NA,NA,2,8.75,5.75,4,3.25,5,2,0
9-Mar,2,7,30,NA,NA,NA,8.25,7,2,3.75,4,2.75,0
10-Mar,2,7,40,NA,NA,1,8,5.5,2,4,5,1,0
11-Mar,3,9,40,NA,NA,NA,9,6,4,4,4,3.5,0
12-Mar,2,8,40,NA,NA,1,9.75,4.75,2,5.25,4,1.75,0
13-Mar,2,7,45,NA,NA,3,9,5,2,3.5,4,2,0
14-Mar,4,8,30,NA,NA,3,9.75,6,3,3.5,5,2.75,0
15-Mar,2,8,40,NA,NA,2,8.75,4.25,2,4,4,2.25,0
16-Mar,2,9,45,NA,NA,1,9.5,4.25,3,3,7,1,0
17-Mar,3,9,25,NA,NA,NA,9.25,6.5,3,3,5,2.25,0
18-Mar,4,11,25,NA,NA,1,8.75,5.75,4,2.5,5,2,0
19-Mar,3,8,40,NA,NA,2,9.25,5.5,5,2.75,5,2.75,0
20-Mar,2,8,30,NA,NA,3,10,6,2,4.75,5,1,0
21-Mar,2,9,25,NA,NA,3,9.5,4.5,4,2.25,6,1,0
22-Mar,3,9,30,NA,NA,3,9.75,4.25,5,4,4,1.5,0
23-Mar,3,9,30,NA,NA,2,9.5,4.25,3,3.75,5,1.5,0
24-Mar,2,8,19,NA,NA,4,10,5.5,4,2.5,6,2,0
25-Mar,2,8,30,NA,NA,2,9,5.5,3,2.5,5,2,0
26-Mar,3,9,40,NA,NA,3,9.5,4.75,3,3.5,4,2.5,0
27-Mar,2,9,20,NA,NA,3,10,4.5,4,3.5,4,1.5,0
28-Mar,3,9,15,NA,NA,3,10,5,3,3.5,5,1.25,0
29-Mar,3,8,30,NA,NA,2,9.25,4.25,4,3,4,2,0
30-Mar,3,10,30,NA,NA,4,10,4,4,4,6,1,0
31-Mar,2,8,30,NA,NA,3,9,4.75,4,3.5,4,1,0
1-Apr,2,9,38,NA,NA,2,9,5,4,2.5,4,2,0
2-Apr,3,8,26,NA,NA,4,9.25,4.5,3,3.5,4,2.25,0
3-Apr,2,8,20,NA,NA,3,9.25,5.75,6,3.5,3,3.25,0
4-Apr,3,9,20,NA,NA,2,10,4,4,2.75,6,1.5,0
5-Apr,2,8,20,NA,NA,2,10,4.5,3,4.25,4,1.5,0
6-Apr,2,8,23,NA,NA,3,10.25,4,3,3.75,5,1,0
7-Apr,3,8,17,NA,NA,2,9.75,4.75,4,3.75,4,2.25,0
8-Apr,2,9,25,NA,NA,2,9,4.5,3,3.75,6,1,0
9-Apr,3,8,16,NA,NA,3,10.25,4.75,3,5,6,1.75,0
10-Apr,2,10,20,NA,NA,3,9.75,4.25,4,3.25,3,2,0
11-Apr,3,9,16,NA,NA,3,9.5,6,3,3.25,5,2,0
12-Apr,3,9,19,NA,NA,1,9.75,4.25,4,3.5,4,1.75,0
13-Apr,3,9,19,NA,NA,2,9.75,4.75,3,4,4,1.75,0
14-Apr,2,9,27,NA,NA,1,10,4.5,3,3,4,1.5,0
15-Apr,7,9,4,NA,NA,NA,9.75,5,5,4,3,2,0
16-Apr,7,7,NA,NA,NA,NA,9.25,4,4,4,4,1.5,0
17-Apr,6,7,NA,NA,NA,NA,10.5,2.25,8,3.5,4,0.75,0
18-Apr,6,7,10,NA,NA,3,11,4.75,2,4.25,4,1.5,0
19-Apr,NA,NA,NA,NA,NA,2,9,4,5,2.5,5,1.25,0
20-Apr,NA,NA,NA,NA,NA,NA,11,5.25,2,4,4,2,0
21-Apr,NA,NA,NA,NA,NA,NA,9.5,5.5,4,4.25,5,2,0
22-Apr,NA,NA,NA,NA,NA,NA,10.25,4.75,2,4.25,4,1.75,0
23-Apr,NA,NA,NA,NA,NA,NA,10.5,4.5,2,4.25,3,2.25,0
24-Apr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
25-Apr,5,8,NA,NA,NA,1,10.5,5,4,0.25,4,1.75,0
26-Apr,2,7,NA,NA,NA,1,11.25,5.25,4,3.5,4,2,0
27-Apr,3,7,NA,NA,NA,2,10,4.5,4,4.25,3,2.5,0
28-Apr,1,7,NA,NA,NA,3,10.5,4.5,4,5.5,5,1.5,0
29-Apr,2,8,NA,NA,NA,4,10.25,3.75,3,3.75,4,2,0
30-Apr,1,8,NA,NA,NA,3,10.75,5,3,4.25,3,2.25,0
1-May,1,8,NA,NA,NA,3,10,3.75,7,2.5,3,1.5,0
2-May,2,7,NA,NA,NA,2,9.25,4.5,5,2.75,4,2,0
3-May,1,8,NA,NA,NA,4,10.75,3.5,8,2.25,3,2,0
4-May,1,7,NA,NA,NA,3,10.2,5,5,3.25,3,2.5,0
5-May,3,8,NA,NA,NA,4,10.25,4.75,3,3.75,4,1.5,0
6-May,1,8,NA,NA,NA,NA,10.25,NA,9,1.75,NA,NA,0
7-May,2,8,NA,NA,NA,3,10.75,3.5,8,2,4,1.25,0
8-May,2,7,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0
9-May,1,8,NA,NA,NA,3,10.5,4,4,3.25,4,1.5,0
10-May,2,8,NA,NA,NA,3,10.5,4.25,5,3.5,4,1.5,0
11-May,1,9,NA,NA,NA,6,10,5.5,8,2.5,4,1.75,0
12-May,1,8,NA,NA,NA,3,10,3.5,6,4,4,1.5,0
13-May,3,8,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,0
14-May,2,8,NA,NA,NA,4,10.25,NA,6,2.75,3,NA,0
15-May,1,9,NA,NA,NA,4,10.75,4,5,3.75,5,1.5,0
16-May,2,7,NA,NA,NA,4,10.25,4,5,3.5,3,1.5,0
17-May,2,7,NA,NA,NA,5,9.75,3.5,3,3,5,1,0
18-May,1,10,NA,1,T,6,NA,3.5,NA,NA,3,1,0
19-May,2,8,NA,NA,NA,4,10.5,NA,5,3,NA,NA,0
20-May,1,8,NA,NA,NA,4,11.5,NA,5,4,NA,NA,0
21-May,NA,8,NA,NA,NA,3,10.75,4.75,6,4,4,1.5,0
22-May,1,9,NA,NA,NA,4,11,2,8,2.25,3,0.75,0
23-May,NA,8,NA,1,F,4,10.75,3.75,10,2.5,4,1.75,0
24-May,2,8,NA,1,F,4,9.75,3,7,2.5,3,1,0
25-May,3,8,NA,NA,NA,3,10.75,4.5,8,3,4,2.25,0
26-May,1,8,NA,NA,NA,3,10.75,4,11,2.5,4,1.75,0
27-May,1,8,NA,1,F,5,10.75,3.25,4,4,4,1,0
28-May,1,8,NA,1,F,3,10.25,4,8,2.5,5,1.25,0
29-May,1,8,NA,1,F,3,10.25,3,7,2.25,3,1.5,0
30-May,1,10,NA,1,F,4,10.75,2.75,7,2,3,1.5,0
31-May,1,7,NA,1,F,2,11.25,4,5,3.25,4,1.5,0
1-Jun,2,9,NA,NA,NA,3,11,4.5,7,2.75,4,1.25,0
2-Jun,1,8,NA,NA,NA,2,10.5,4.5,5,3.75,5,1.5,0
3-Jun,1,8,NA,1,,3,11,3.75,5,4,4,1.5,0
4-Jun,2,8,NA,1,F,2,10.25,3.25,10,2,3,2,0
5-Jun,1,9,NA,1,F,2,10.75,3.5,5,3,3,1.5,0
6-Jun,1,9,NA,1,F,3,10.5,3,7,2.5,3,1.5,0
7-Jun,1,8,NA,NA,NA,1,10.75,3.75,6,3,3,1.5,0
8-Jun,2,9,NA,NA,NA,4,10.5,1.25,8,3.25,3,2.25,0
9-Jun,2,8,NA,NA,NA,3,9.5,3.75,7,3.25,3,1.5,0
10-Jun,1,9,NA,1,F,2,9.75,3.25,6,2.75,3,1.25,0
11-Jun,1,10,NA,1,F,2,10.5,3.5,6,3,5,1.5,0
12-Jun,2,8,NA,1,F,3,11,3.25,6,2.75,4,1.25,0
13-Jun,1,8,NA,0,F,1,11.5,3.25,3,4,5,1.5,0
14-Jun,1,8,NA,1,F,1,11,4,5,5,4,1.5,0
15-Jun,0,8,NA,0,F,0,11.75,3.5,5,3.75,5,1,0
16-Jun,1,7,NA,0,F,2,11.25,4,4,3.75,4,1.5,0
17-Jun,1,9,NA,0,F,1,11.25,3.5,3,4.75,3,1.75,0
18-Jun,1,8,NA,0,F,2,10.5,3.25,6,2.25,4,1.25,0
19-Jun,1,8,NA,0,F,1,9,4.5,3,3.5,3,2.25,0
20-Jun,4,11,NA,0,F,2,10,3,3,3,4,1.5,0
21-Jun,2,8,NA,1,F,3,10.75,4.75,3,3.5,4,2,0
22-Jun,NA,NA,NA,1,F,NA,10.75,NA,4,4,NA,1.75,0
23-Jun,1,7,NA,1,F,1,10.25,4.25,3,4,4,1.5,0
24-Jun,3,9,NA,1,F,2,10.75,3.5,5,3.5,4,1.25,0
25-Jun,1,9,NA,1,F,1,11,3.5,5,4,5,1.25,0
26-Jun,2,8,NA,1,F,1,10.25,3.25,5,2.75,4,1.5,0
27-Jun,1,8,NA,1,F,1,11.5,3.5,6,3,3,1.5,0
28-Jun,1,7,NA,2,F,1,10.5,3.5,7,2.5,4,1.5,0
29-Jun,0,6,NA,1,T,NA,10.25,4,10,2,4,2.25,0
30-Jun,0,6,NA,2,T,0,11,4.25,8,3.5,4,1.25,0
1-Jul,0,6,NA,2,F,1,11.25,2.5,5,3.5,3,1.25,1
2-Jul,1,6,NA,1,F,1,10.5,2.75,6,3.5,4,1.25,2
3-Jul,0,6,NA,3,F,1,11.25,4.25,6,3.75,4,1.5,2
4-Jul,0,6,NA,0,F,1,10.5,3.5,4,4.5,5,1.5,0
5-Jul,0,6,NA,3,F,2,10.75,4.25,5,5.75,4,1.25,2
6-Jul,0,6,NA,1,F,2,10.5,3.75,7,6.5,4,1.5,1
7-Jul,3,7,NA,1,F,3,9.25,4,6,5.5,3,2.25,1
8-Jul,0,6,NA,1,F,2,10.5,2.5,4,5.5,3,1.5,1
9-Jul,1,6,NA,0,F,2,11,2.75,6,3.25,3,1.5,1
10-Jul,1,6,NA,3,F,2,11.25,2.25,5,7.75,3,1,2
11-Jul,0,6,NA,1,F,3,11,2.25,6,6.25,3,1,0
12-Jul,1,6,NA,3,F,3,9.75,3.5,4,5.5,4,2,1
13-Jul,0,6,NA,1,F,2,11,2.75,3,4.5,4,0.75,3
14-Jul,0,6,NA,1,F,3,11.25,3,5,6.25,4,0.75,0
15-Jul,0,6,NA,3,T,2,10.25,3.5,4,6.25,4,1.25,1
16-Jul,0,6,NA,1,F,2,10.75,3.25,3,4.75,5,1,2
17-Jul,2,6,NA,1,F,1,10.5,2.75,4,5,5,0.75,0
18-Jul,0,6,NA,0,F,1,10.5,3,4,7.5,3,1.5,2
19-Jul,0,6,NA,3,T,6,10.75,2.5,3,8.25,3,1.5,1
20-Jul,1,6,NA,1,F,2,11,3.75,4,7,4,1.75,0
21-Jul,0,7,NA,3,F,2,9.75,3.75,4,6,3,1,0
22-Jul,0,6,NA,2,F,0,11,2.75,4,5.5,4,1,3
23-Jul,0,6,NA,2,T,2,11.25,3,6,7.5,4,1,1
24-Jul,0,7,NA,3,F,5,11.25,2.5,7,4,4,0.75,3
25-Jul,0,6,NA,1,F,2,10.75,NA,4,3.75,4,NA,4
26-Jul,1,6,NA,2,F,0,11.5,3.25,9,4.5,3,2.25,4
27-Jul,0,6,NA,2,T,1,NA,2.75,NA,NA,4,0.75,5
28-Jul,0,6,NA,2,F,2,11.25,2.75,4,7,3,1.25,3
29-Jul,0,6,NA,2,F,2,10.75,3.25,4,6.75,4,1.25,3
30-Jul,0,6,NA,2,F,3,11,3,4,3.5,3,1.5,4
31-Jul,0,6,NA,2,F,1,11,3,3,6.75,3,2,1
1-Aug,1,6,NA,2,F,1,11.25,2.5,2,8,3,1,1
2-Aug,0,6,NA,3,F,1,10.5,2.75,4,5.5,4,1.25,3
3-Aug,0,6,NA,3,F,1,11,3.5,5,4.5,4,1.5,3
4-Aug,0,6,NA,2,F,1,10,3.75,5,5.5,4,1.25,3
5-Aug,0,6,NA,2,F,2,10,2.25,5,7,3,1,2
6-Aug,0,6,NA,2,F,2,11.25,2.5,1,9,2,1.5,1
7-Aug,2,7,NA,1,F,2,10.5,3.5,5,4.25,3,1.5,1
8-Aug,0,6,NA,2,T,1,10.75,2.5,5,6.25,4,1,1
9-Aug,1,6,NA,3,F,3,11.25,3.5,4,7.75,4,1.25,2
10-Aug,0,7,NA,3,F,1,10.5,3,4,3.75,4,1.25,3
11-Aug,1,6,NA,3,F,1,11,3.25,1,10,4,1.5,2
12-Aug,0,6,NA,3,F,1,11,2.58,2,8,4,1.5,3
13-Aug,0,6,NA,3,F,3,10.5,2.5,3,5.75,3,1.25,1
14-Aug,0,6,NA,3,F,NA,11.5,NA,4,6.5,NA,NA,2
15-Aug,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
16-Aug,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
17-Aug,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
18-Aug,0,6,NA,3,T,2,11.25,NA,0,11.25,NA,NA,0
19-Aug,0,6,NA,3,T,2,11,3.25,2,7.5,4,1.25,0
20-Aug,0,6,NA,3,F,2,11,3.25,3,10,3,1.25,0
21-Aug,0,6,NA,3,F,2,9.5,3.75,4,3.25,3,1.75,0
22-Aug,0,6,NA,3,T,2,11,3,2,7.75,4,1.25,0
23-Aug,0,6,NA,3,F,2,10,3,3,7,4,1,0
24-Aug,0,6,NA,3,F,1,10.25,3.25,3,5.75,3,1.25,0
25-Aug,0,6,NA,3,F,2,11,2.5,0,11,2,2,0
26-Aug,0,7,NA,3,T,2,10.75,3.5,4,6,4,2,2
27-Aug,0,8,NA,3,F,0,NA,2.75,NA,NA,3,1.25,4
28-Aug,0,7,NA,3,T,3,9,2.5,2,6,3,1.75,5
29-Aug,0,7,NA,3,F,2,9.75,2,8,2.25,3,0.75,2
30-Aug,0,7,NA,3,T,3,11.25,2,3,6,3,1,4
31-Aug,0,7,NA,3,F,1,10.75,3.25,3,5,4,1.5,2
1-Sep,2,8,NA,3,F,2,10.5,3.75,3,5.5,3,2,2
2-Sep,0,6,NA,4,F,3,11.25,2,1,11,3,1,1
3-Sep,0,7,NA,3,T,4,11,2,5,5.75,3,1,0
4-Sep,0,7,NA,3,F,1,11.5,2.752,3,5,3,1.25,1
5-Sep,0,6,NA,3,T,2,10.75,3.5,4,5.75,4,1.25,0
6-Sep,1,6,NA,2,F,2,10.5,2.75,NA,NA,3,1.5,1
7-Sep,0,7,NA,2,F,NA,11,NA,3,3.75,NA,NA,2
8-Sep,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
9-Sep,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,0
10-Sep,0,6,NA,4,F,2,10.75,2.5,0,10.75,2,1.5,0
11-Sep,0,6,NA,4,T,2,11,2,2,4.5,3,1,0
12-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-Sep,0,9,NA,3,T,1,10.5,2.5,6,2.5,3,1,0
24-Sep,1,7,NA,3,T,1,10.5,4.5,8,2.25,2,2,0
25-Sep,1,6,NA,3,F,2,11,2.25,5,5.5,3,0.75,0
26-Sep,0,5,NA,3,F,0,10.5,1.75,3,4.5,2,1,1
27-Sep,1,7,NA,3,F,1,10,1.5,4,4.5,2,0.5,3
28-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29-Sep,NA,NA,NA,NA,NA,NA,10.5,2.25,5,6,3,0.75,2
30-Sep,NA,NA,NA,NA,NA,2,NA,1.25,NA,NA,2,1,NA
1-Oct,0,8,NA,4,F,1,10.25,1.5,4,4.75,3,0.5,3
2-Oct,0,6,NA,3,F,2,10.5,1.75,3,6,3,0.75,1
3-Oct,0,6,NA,3,F,1,11.5,2,3,5.25,3,1,1
4-Oct,0,7,NA,3,F,1,11.5,1.5,6,5.25,2,1,1
5-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
6-Oct,0,7,NA,2,F,1,11.25,2.25,3,4.75,2,1.25,0
7-Oct,0,7,NA,2,F,1,11,1.25,2,6,3,0.5,2
8-Oct,0,8,NA,3,T,1,11.25,2,4,4.5,3,1,0
9-Oct,0,6,NA,3,F,1,11.25,1.25,6,NA,2,0.575,1
10-Oct,0,8,NA,3,F,4,10.5,1.5,8,2.5,3,0.5,2
11-Oct,0,10,NA,3,F,1,9.75,3,5,4.25,2,1.5,3
12-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
13-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14-Oct,0,8,NA,3,F,NA,NA,1.5,NA,NA,3,0.5,0
15-Oct,2,8,NA,4,F,2,11,2,4,5,3,1,1
16-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
17-Oct,0,7,NA,3,F,2,11,1.5,2,8,3,0.75,0
18-Oct,0,8,NA,3,F,1,11.25,1.25,6,3.25,2,1,1